0,1,2,3,4,5,6
LAPORAN TRANSAKSI SPOT DAN DERIVATIF Per 31 Desembcr 202s,LAPORAN TRANSAKSI SPOT DAN DERIVATIF Per 31 Desembcr 202s,LAPORAN TRANSAKSI SPOT DAN DERIVATIF Per 31 Desembcr 202s,LAPORAN TRANSAKSI SPOT DAN DERIVATIF Per 31 Desembcr 202s,LAPORAN TRANSAKSI SPOT DAN DERIVATIF Per 31 Desembcr 202s,LAPORAN TRANSAKSI SPOT DAN DERIVATIF Per 31 Desembcr 202s,LAPORAN TRANSAKSI SPOT DAN DERIVATIF Per 31 Desembcr 202s
NO,TRANSAKSI,Nilai Notional,Tujuan,Tujuan,Tagihan dan Liabilitas Derivatit,Tagihan dan Liabilitas Derivatit
A 1 Spox,Terkait dengan Nila! Tukar,Nilai Notional,Trading,Hedging,Tagihan,Liabilitas
2 3 4 5 6,Forwmd Option a Jual D Bol Hauu Swap,,,,,
B. 1 2,Larnya Terkalnt dengan Suku Bunga forward,,,,,
,Opton 4 Jua,,,,,
3,D Bel,,,,,
,FuAure,,,,,
4,,,,,,
,Swap,,,,,
专,arnya,,,,,
C.,Lainnya,,,,,
,JUMLAH,,,,,
