POS-POS,31-Des-25,31-Des-24
ARUS KAS DARI AKTIVITAS OPERASI Penerimaan bunga dan komisi.,8722989.0,9290357.0
Pembayaran bunga,-9140743.0,-8768068.0
Pendapatan operasional lainnya.,116.043,84.695
Pembayaran beban operasional lainnya,-2544906.0,-1481384.0
Penerimaan pendapatan non-operasional,826.0,3.46
Pembayaran beban non-operasionale,-9.944,-2.564
Pembayaran beban pajak penghasilan,-17.807,-27.17
Arus kas sebelum perubahan dalam aset dan liabilitas operasi,-2873542.0,-900.674
Perubahan dalam aset dan liabilitas operasi :,,
Penurunan/(kenaikan) aset operasi :.,,
Penempatan pada Bank Indonesia dan bank lain,329.379,-329.38
Efek-efek yang dibeli dengan janji dijual kembali,-148.116,
Pinjaman yang diberikan,-2070996.0,-3092291.0
Biaya dibayar dimuka,320.779,306.082
Aset Lain-lain,-4486774.0,-4232185.0
Kenaikan/(penurunan) liabilitas operasi :,,
Simpanan nasabah :,,
. Giro,921.831,-417.393
. Tabungan,81513810666433.0,-971.528
. Deposito Berjangka Simpanan dari bank lain,,11164443.0
,1169469.0,-1744225.0
Utang pajak,13.698,25.765
Efek-efek yang dijual dengan janji dibeli kembali.,-394.214,394.214
Liabilitas lain-lain,-99.307,-18.993
Kas neto yang diperoleh dari aktivitas operasi ARUS KAS DARI AKTIVITAS INVESTASI,4163778.0,183.835
,1.942,
Hasil penjualan aset tetap,,829.0
Pembelian aset tetap dan aset yang belum digunakan,-69.134,-181.846
Pembelian efek-efek yang nilai wajar diukur melalui. penghasilan komprehensif lain.,-884.055,-1100000.0
Penerimaan dari efek-efek yang telah jatuh tempo,,
yang nilai wajar diukur melalui penghasilan komprehensif lain Pembelian efek-efek yang diukur pada biaya,110.681,726.745
perolehan diamortisasi,,-1539311.0
Penerimaan dari efek-efek yang diukur pada biaya perolehan diamortisasi. yang telah jatuh tempo,1233522.0,2891000.0
Kas neto yang diperoleh dari aktivitas investasi,392.956,797.417
ARUS KAS DARI AKTIVITAS PENDANAAN,,
Pembayaran obligasi subordinasi.,-803.0,-1000000.0
Penerimaan uang muka setoran modal,2000285.0,144.516
Pembayaran liabilitas sewa.,-36.981,-18.214
Penerimaan (pembayaran) pinjaman yang diterima,-280.0,20.0
Kas neto yang diperoleh dari (digunakan untuk) aktivitas pendanaan,880.304,-853.698
Kenaikan kas dan setara kas,5437038.0,127.554
Kas dan setara kas pada awal Tahun,17968285.0,17840731.0
Kas dan setara kas pada akhir periode,23405323.0,17968285.0
Kas dan Setara Kas terdiri dari :,,
Kas,365.577,374.523
Giro pada Bank Indonesia,8625761.0,8933209.0
Giro pada bank lain,1619800.0,531.791
Penempatan pada Bank Indonesia dan bank lain - jangka waktu,,
jatuh tempo 3 bulan atau kurang sejak tanggal perolehan,11426915.0,6327800.0
Efek-efek - jangka waktu jatuh tempo 3 bulan atau,,
kurang sejak tanggal perolehan,136727023405323.0,180096217968285.0
